 INFO  Accepting connections at http://localhost:50912
 HTTP  9/21/2026 5:33:20 PM ::1 Returned 304 in 2 ms
 HTTP  9/21/2026 5:33:20 PM ::1 GET /assets/3d/lens.glb
 HTTP  9/21/2026 5:33:20 PM ::1 Returned 304 in 1 ms
 HTTP  9/21/2026 5:33:21 PM ::1 GET /assets/videos/mascot/praxis%20coming%20soon%20w.webp?t=1789992201402
 HTTP  9/21/2026 5:33:21 PM ::1 Returned 200 in 2 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 3 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /css/styles.css
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 1 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /css/footer.css
 HTTP  9/21/2026 5:33:24 PM ::1 GET /css/loading-animation.css
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 1 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /assets/images/loading/cinema-room.webp
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 2 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /assets/images/loading/mlsc-letters-light.png
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 5 ms
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 3 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /assets/videos/mascot/praxis%20coming%20soon%20w.webp
 HTTP  9/21/2026 5:33:24 PM ::1 GET /js/footer.js
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 1 ms
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 2 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /js/fluid-glass-bundle.js
 HTTP  9/21/2026 5:33:24 PM ::1 GET /js/script.js
 HTTP  9/21/2026 5:33:24 PM ::1 GET /js/loading-animation.js
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 3 ms
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 2 ms
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 3 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /assets/images/mascots/brie-navbar.svg
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 1 ms
 HTTP  9/21/2026 5:33:24 PM ::1 GET /assets/3d/lens.glb
 HTTP  9/21/2026 5:33:24 PM ::1 Returned 304 in 4 ms
 HTTP  9/21/2026 5:33:25 PM ::1 GET /assets/videos/mascot/praxis%20coming%20soon%20w.webp?t=1789992205366
 HTTP  9/21/2026 5:33:25 PM ::1 Returned 200 in 1 ms
